Gene Cluster
ADARB1	1
ADM	9
AGPAT9	9
AHNAK2	9
AKAP12	12
ALDH1L2	12
ALPL	9
ANLN	9
ANP32E	12
AP1M2	9
APTX	2
ARHGAP27	12
ASAP1	9
ASAP3	12
ATP13A4	12
ATP5A1	9
BAAT	9
BAG3	9
CDKN2B	12
CDS1	12
CES1	12
CIDEA	1
COMP	12
CTSK	9
DLC1	6
DNAJB1	9
EHD3	12
ESRRA	9
FAM213A	12
FGF1	9
FIBIN	12
FRZB	12
GATM	12
GOLIM4	12
GPD1L	12
GPR1	1
GPR137B	12
GPRC5C	1
GPT2	12
GRIN3B	9
GUSB	12
HMG20B	12
HMOX1	9
IBSP	9
ITSN2	12
KCNC3	9
KCNJ16	12
KCNN1	12
KIAA0430	1
KIF5B	2
KLC2	12
LATS2	9
LHX4	9
LIMCH1	12
LOC101540963	9
LOC101541316	9
LOC101544956	12
LOC101549601	9
LOC101551169	2
LOC101556222	9
LOC105943228	9
LPAR4	12
MAP1B	5
MAX	9
MEDAG	9
MREG	2
NAT8L	12
P3H2	9
PANX2	12
PAQR7	9
PAQR8	1
PDK4	12
PLCE1	2
PLEKHA2	12
PLEKHB1	1
PPAP2C	12
PPARD	12
PPP1R3C	12
RAB11FIP5	12
RAB3IL1	12
RASSF8	12
SCRT1	1
SDCBP	9
SLAIN2	9
SLC20A1	12
SLC2A12	9
SOX5	9
SPAG9	12
SPRED2	9
ST3GAL5	12
STAC2	9
SYNE3	12
TBX2	12
TDRP	12
TGFBR2	6
TGFBR3	12
TRPM3	2
TXNRD3	2
UNC13C	12
VSX2	9
WFIKKN2	9
ZFP36	9
ADCYAP1	10
AIM1	10
ALPK3	10
ARFGAP1	10
ARVCF	10
B3GNT7	11
BAIAP3	10
BPIFB6	3
BRINP2	11
CALCR	10
CAMK2A	11
CAMKV	10
CBLN1	10
CBR3	3
CBX8	3
CCK	11
CCL5	3
CDCP1	3
CELF3	11
CEMIP	11
CGA	10
CHRM4	11
CILP2	3
CNIH2	11
CNIH3	11
COCH	10
COL22A1	3
COL4A1	11
COL6A3	11
COL9A1	3
COL9A2	3
CPNE2	10
CPNE5	10
CSMD1	10
CSPG5	10
CX3CL1	11
DDN	3
DLK2	10
DMRTA2	10
DNAH2	4
DNAH5	4
DOC2B	10
DOK4	11
E2F7	3
EFNB3	11
EMD	10
EMX2	10
EPHB6	10
EZR	10
FGD3	11
FHL1	10
FNDC9	10
FOXB1	10
FSCN1	3
GALNTL6	10
GNG3	11
GPR153	10
GPR17	3
HDC	10
HPCAL4	10
HS6ST3	10
IL34	11
ISLR2	11
ITPKA	3
JPH4	11
KCNF1	10
KCNH3	3
KCNK13	11
KCNV1	11
KIAA1211L	11
LHX6	11
LIMD2	11
LINGO2	10
LOC101537169	4
LOC101542732	11
LOC101548011	11
LOC101549698	3
LOC101550870	10
LOC101551839	10
LOC105943250	11
LRRC10B	11
LRRN2	10
MAL2	10
MPP2	10
NCALD	10
NEU4	3
NGEF	11
NKX2-1	10
NPM3	10
NRF1	10
NRGN	11
PCDH12	11
PCDH8	4
PIEZO2	11
PITX2	10
PLK2	10
PMCH	10
PODXL	10
PPP1R1B	3
PRKCG	11
PRPF40B	10
PXDN	11
RGS9	10
RIN1	3
RNF112	4
RPRM	11
RRP1B	10
SCN5A	10
SH3BGRL3	3
SIM2	4
SIX3	4
SLC2A6	10
SLITRK6	10
SOCS2	10
SOX8	11
SPARC	8
SPEF1	4
STX1A	11
SYT5	11
TAC3	10
TGFBI	11
TGM3	10
TMEFF2	10
TMEM132B	11
TMEM132D	11
TRPV1	11
TSHZ2	10
TSPAN18	11
TUBB2B	11
VIP	4
VWA5B1	10
WDR31	10
ZDHHC23	11
ZKSCAN4	10
ABAT	2
ACACB	1
ANKRD35	2
ANKS1A	1
ARRDC2	1
ASS1	1
BCL6	1
CBFA2T3	1
CBX7	1
CDR2	1
CERCAM	2
CFI	1
CPED1	2
EXOC3L2	1
FBXO30	2
GLS2	1
GNA13	2
GNMT	1
GPX6	1
GRHPR	1
GRIP2	7
HAPLN2	1
HK2	1
HSD11B1	2
KCNH2	1
KIAA1522	1
KLHDC7A	1
LAMC3	1
LOC101539242	1
LOC101547475	2
LOC101554925	1
LOC101558604	1
MAGIX	2
MAP4	1
MFAP3L	12
MLXIPL	1
MOCOS	2
MRVI1	2
MTMR10	1
NOTCH2	2
NPAS1	1
NPR1	2
PFKL	1
PHKA1	2
PLCD1	1
PLEKHH3	1
PLEKHM2	1
PTPN21	1
QKI	2
RAPGEF4	2
RELT	1
RORB	2
RPP25	1
SAMD9L	2
SLC7A3	2
